model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20250524_05956_model_105,0.6620485091669768,0.631904280950041,0.5430107135454222,0.408246630457011,0.470032817779652,0.2209308497898795
GBM_grid_1_AutoML_1_20250524_05956_model_177,0.661883016206058,0.6303615233028448,0.5439433825800875,0.4046052447845393,0.4692866374287456,0.2202299480691789
GBM_grid_1_AutoML_1_20250524_05956_model_274,0.6618006751247953,0.6308348542248879,0.5496840925017215,0.4042202056364902,0.4695384013701146,0.2204663103612028
GBM_grid_1_AutoML_1_20250524_05956_model_62,0.6617971616650916,0.6306129747561251,0.546983222707057,0.4186650294545038,0.4692589541293298,0.2202039660305524
GBM_grid_1_AutoML_1_20250524_05956_model_273,0.661691127253006,0.6302319872827443,0.5493283728589656,0.399892073724997,0.4693215068680286,0.220262676808877
GBM_grid_1_AutoML_1_20250524_05956_model_124,0.66168193820455,0.6313670338626497,0.5369692013370756,0.393544513282229,0.4699390627239522,0.2208427226738667
GBM_grid_1_AutoML_1_20250524_05956_model_34,0.6616653618818451,0.6323661679012469,0.5427359943849253,0.4172666724924032,0.4701855268599897,0.2210744296686061
GBM_grid_1_AutoML_1_20250524_05956_model_67,0.6614543741221981,0.6312269536436543,0.5449726926548576,0.3978779604276331,0.4696381582908961,0.2205599997228648
GBM_grid_1_AutoML_1_20250524_05956_model_82,0.6614285186623268,0.6309391449647298,0.54673195064575,0.4109901019533934,0.4695230003299215,0.2204518478388114
GBM_grid_1_AutoML_1_20250524_05956_model_142,0.6612777101611957,0.6319984627485856,0.5391321013752147,0.4028910368039408,0.4700387639674099,0.2209364396320104
GBM_grid_1_AutoML_1_20250524_05956_model_134,0.6612648274756153,0.6318530600734963,0.5419515160104256,0.4075900639359577,0.4701203944830184,0.2210131853088689
GBM_grid_1_AutoML_1_20250524_05956_model_143,0.6611734775233172,0.6324685836987686,0.5426723545722426,0.4111072172768525,0.4702437999833495,0.2211292314227805
GBM_grid_1_AutoML_1_20250524_05956_model_13,0.6610185249415099,0.6307961937634539,0.5383554032402651,0.3926252480817861,0.4696162991644013,0.2205394684408685
GBM_grid_1_AutoML_1_20250524_05956_model_205,0.660941769360289,0.6324943931970556,0.5355709565432001,0.3836371875385693,0.4701628247102104,0.221053081739484
GBM_grid_1_AutoML_1_20250524_05956_model_156,0.6609390666989785,0.6312992311741942,0.5447584105815788,0.4065679174282917,0.4698123450509412,0.2207236395622646
